"ID","Message"
"256","QUERY_RECEIVED: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; RD=RD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstanceOptionValue: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString"
"257","RESPONSE_SUCCESS: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; AA=AA:win:UInt8; AD=AD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; DNSSEC=DNSSEC:win:UInt8; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; Scope=Scope:win:UnicodeString; Zone=Zone:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo= AdditionalInfo:win:UnicodeString; ElapsedTime=ElapsedTime:win:UInt32; GUID=GUID:win:UnicodeString StaleRecordsPresent:win:UnicodeString"
"258","RESPONSE_FAILURE: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Reason=Reason:win:UnicodeString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; Zone=Zone:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance: BufferSize:win:UInt32; ElapsedTime=ElapsedTime:win:UInt32; GUID=GUID:win:UnicodeString"
"259","IGNORED_QUERY: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; Reason=Reason:win:UnicodeString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; Zone=Zone:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString"
"260","RECURSE_QUERY_OUT: TCP=TCP:win:UInt8; Destination=Destination:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; RD=RD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; QXID=QXID:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; RecursionScope=RecursionScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString"
"261","RECURSE_RESPONSE_IN: TCP=TCP:win:UInt8; Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; AA=AA:win:UInt8; AD=AD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RemoteQueriesSent=RecursionDepth:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; RecursionScope=RecursionScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString; QueriesAttached=QueriesAttached:win:UInt32"
"262","RECURSE_QUERY_TIMEOUT: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; QXID=QXID:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; RecursionScope=RecursionScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString"
"263","DYN_UPDATE_RECV: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; SECURE=Secure:win:UInt8; PacketData=PacketData:win:Binary"
"264","DYN_UPDATE_RESPONSE: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; RCODE=RCODE:win:UInt32; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary"
"265","IXFR_REQ_OUT: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
"266","IXFR_REQ_RECV: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
"267","IXFR_RESP_OUT: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; RCODE=RCODE:win:UInt32; PacketData=PacketData:win:Binary"
"268","IXFR_RESP_RECV: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; RCODE=RCODE:win:UInt32; PacketData=PacketData:win:Binary"
"269","AXFR_REQ_OUT: TCP=TCP:win:UInt8; Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
"270","AXFR_REQ_RECV: TCP=TCP:win:UInt8; Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
"271","AXFR_RESP_OUT: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; RCODE=RCODE:win:UInt32"
"272","AXFR_RESP_RECV: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; XID=XID:win:UInt32; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; RCODE=RCODE:win:UInt32"
"273","XFR_NOTIFY_RECV: Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; QNAME=QNAME:win:AnsiString; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
"274","XFR_NOTIFY_OUT: Destination=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; QNAME=QNAME:win:AnsiString; ZoneScope=ZoneScope:win:UnicodeString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
"275","XFR_NOTIFY_ACK_IN: Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; PacketData=PacketData:win:Binary"
"276","XFR_NOTIFY_ACK_OUT: Destination=Destination:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; Zone=Zone:win:UnicodeString; PacketData=PacketData:win:Binary"
